,Words,Counts
121,sound so good,1
122,iphone,6
123,cord,40
124,earphones,47
125,refurbished,8
126,renewed,4
127,sounds,22
128,around the neck,8
129,sensitive,2
130,button,14
131,worst,1
132,in-ear headphones,29
133,audio in-ear,1
134,hi-res audio,1
135,comfortable to wear,18
136,audio books,2
137,clear sound,2
138,headphones that cost,1
139,excellent sound,9
140,sound suffered great,1
141,pretty good,64
142,wireless in-ear,2
143,audio technica,19
144,build quality,49
145,solid bass,2
146,mids and highs,9
147,ear cups,10
148,clamping force,1
149,ear pads,3
150,closed back,2
151,gaming headset,1
152,soundstage,4
153,skull candy,7
154,good for the price,9
155,sound is good,13
156,price point,37
157,low end,10
158,get what you pay,22
159,brand new,11
160,waste of money,38
161,ear buds,15
162,last pair,4
163,new ones,4
164,quality and battery,1
165,miles davis,2
166,davis trumpet,1
167,daily use,1
168,ear bud,6
169,carrying case,13
170,worth the price,6
171,feel like,11
172,sound amazing,3
173,listen to music,22
174,earbuds instead,1
175,bass heavy,3
176,heavy bass,1
177,bought two more pair,1
178,good sound quality,2
179,great bass,7
180,active noise,22
181,noise reduction,8
182,battery pack,2
183,background noise,9
184,aaa battery,2
185,volume control,53
186,skullcandy,53
187,last long,28
188,pack,1
189,decent,12
190,phone in my pocket,4
191,hold a charge,7
192,bluetooth connection,10
193,second pair,68
194,quality is very good,6
195,bluetooth range,2
196,around neck,3
197,bluetooth earbuds,12
198,buds,30
199,annoying,4
200,outside noise,31
201,high end,20
202,yellow foam,2
203,year warranty,4
204,sound isolation,15
205,tight seal,1
206,ultimate ears,6
207,triple flange,2
208,ear pieces,37
209,sweat resistant,4
210,easy to pair,3
211,full charge,4
212,bluetooth headphones,29
213,strain relief,1
214,earbuds fall,1
215,split open,1
216,controls work,6
217,wire started,1
218,come off too easily,1
219,phone cases,1
220,sennheiser headphones,2
221,airpods pro,5
222,charging case,45
223,transparent hearing,2
224,momentum true,1
225,firmware update,5
226,sale,1
227,deep bass,5
228,flat cord,2
229,stay in my ears,36
230,also flat,1
231,buds which sounded great,1
232,quality is great,9
233,price range,22
234,foam pads,3
235,foam covers,4
236,ever owned,16
237,phillips,3
238,terrible,5
239,wired,5
240,great for the price,6
241,tangled,1
242,hurt,2
243,apple,5
244,connection,7
245,durable,7
246,wearing,4
247,wireless earphones,2
248,charging cable,4
249,around your neck,19
250,bang and olufsen,12
251,comply tips,5
252,sizes of silicone,1
253,double tap,1
254,work perfectly,2
255,best headphones,5
256,gumy headphones,2
257,good quality,26
258,gumy earbuds,1
259,high school,1
260,still work,8
261,little bit,6
262,hurt my ears,13
263,left side,11
264,good price,5
265,waste your money,27
266,new pair,15
267,good battery,1
268,christmas gift,1
269,great battery,6
270,highs and mids,3
271,noise isolation,12
272,extra bass,14
273,beats tours,1
274,ever used,2
275,ear headphones,8
276,headphones good,1
277,green,1
278,headphone,11
279,lasted,10
280,low,11
281,ear hooks,6
282,sounds really good,1
283,behind the ears,1
284,around the ears,3
285,fit well,8
286,rubber,5
287,wireless earbud,1
288,loud enough,11
289,fall out of my ears,7
290,love these headphones,8
291,headphones great,1
292,headphones sound,1
293,rp-hje,1
294,sizes,4
295,single button,2
296,increase the volume,1
297,wired version,2
298,button control,2
299,getting used,3
300,adjust the volume,5
301,buds to stay,1
302,expect,1
303,wireless,15
304,listening,9
305,worse,1
306,great by for the price,1
307,cable,12
308,foam,4
309,isolation,2
310,motorcycle,1
311,block,3
312,tips,4
313,panasonic rphje,1
314,different sizes,8
315,pivot motion,1
316,motion sport,1
317,wireless pivot,1
318,quality and sound,2
319,headphone jack,5
320,little guy,1
321,micro usb,5
322,hold switch,1
323,drag and drop,1
324,transfer music,1
325,music player,1
326,muse app,1
327,little player,1
328,play store,1
329,form factor,1
330,red color,1
331,stay on my ears,1
332,fell apart,6
333,galaxy note,1
334,save your money,5
335,enhanced bass,1
336,behind your neck,4
337,back of your neck,2
338,around the back,2
339,quality sound,10
340,right angle,1
341,angle plug,1
342,ear sleeves,1
343,heavy duty,2
344,good job,1
345,hear his music,1
346,input plug,1
347,periods of time,2
348,fit my ears,17
349,bass response,16
350,long periods,2
351,sony mdr-e,1
352,memory foam,11
353,truly wireless,11
354,control talk,2
355,diesel,1
356,owned,6
357,shape,1
358,highs,5
359,adjustable,2
360,bud,7
361,metal,1
362,packaging,1
363,warranty,4
364,wireless charger,3
365,galaxy buds,11
366,really good,19
367,hip hop,2
368,beats by dre,3
369,sub bass,1
370,tangle free,7
371,well made,2
372,slider,1
373,control,10
374,build,2
375,laptop,2
376,quality was great,1
377,main,1
378,pay,3
379,solid,2
380,low volume,2
381,good bass,2
382,poor quality,8
383,call quality,9
384,halo smart,1
385,worked great,3
386,wireless bluetooth,6
387,pure bass,1
388,wired headphones,3
389,in-ear wireless,1
390,bass sound,1
391,also great,1
392,bluetooth wireless,1
393,earbuds i have ever,4
394,best earbuds,7
395,work just fine,1
396,newer version,1
397,bottom line,3
398,friends and family,1
399,work fine,3
400,around my neck,8
401,long battery,4
402,sounds good,3
403,sennheiser,3
404,voice,3
405,quality of sound,3
406,beat,1
407,early,1
408,package,2
409,pouch,2
410,waste,1
411,buyer,1
412,earwax,1
413,guess,2
414,inches,1
415,talk,2
416,sets,2
417,call,2
418,headband broke,1
419,look elsewhere,1
420,everyday,1
421,note,2
422,accessories,1
423,ear clip,3
424,plastic ear,1
425,clip broke,2
426,lightweight,9
427,many others,1
428,keep in mind,2
429,nice sound,1
430,hour,2
431,okay,5
432,stopped charging,5
433,around my ears,3
434,something like,1
435,happy with purchase,1
436,powerbeats,1
437,seller,2
438,side stopped,2
439,ears even,1
440,must say,1
441,recommend them to anyone,1
442,easy enough,1
443,high hopes,1
444,sounds like,1
445,seal your ear,1
446,hear ambient,1
447,cleaning tool,1
448,semi hard,1
449,buy buy,1
450,paul frank,1
451,sound is great,8
452,nick cannon,1
453,worth the money,14
454,came with my phone,10
455,came with my samsung,1
456,asymmetric cable,1
457,wrap around,9
458,side is longer,1
459,low price,5
460,fantastic sound,1
461,sound for the price,2
462,headphones have great,1
463,loop around,1
464,around the ear,12
465,model,6
466,listen,10
467,move,1
468,connected,2
469,ambient sound,10
470,voice assistant,1
471,sometimes,4
472,microphone,7
473,type,2
474,akg,3
475,usb,2
476,ambient,3
477,plus,4
478,feature,5
479,galaxy,1
480,love the pink,1
481,sound quality is pretty good,2
482,past 5 years,1
483,third pair,1
484,came with my ipod,3
485,keep falling,3
486,flat cable,1
487,app,4
488,adjust volume,1
489,use the phone,1
490,phone to adjust,1
491,controls are too sensitive,1
492,sweat,8
493,reality audio,1
494,pros but my sound,1
495,wireless ksc,1
496,sound is not good,1
497,portapro,1
498,connect,4
499,play or pause,2
500,apple earbuds,6
501,bang olufsen,3
502,proximity sensor,2
503,hard case,1
504,cloth bag,1
505,transparency mode,4
506,last year,2
507,ipod earbuds,3
508,headphones bought,1
509,good enough,2
510,expensive headphones,1
511,buds fit,1
512,range,10
513,old ones,3
514,headphones are good,1
515,ear tips,13
516,painful to wear,1
517,price and fit,1
518,hurting ears,1
519,right fit,2
520,fit for your ears,1
521,use the smallest,1
522,flat,2
523,little heavy,1
524,perfect headphones,1
525,lasted me 7 months,1
526,every time,7
527,value for money,2
528,high volumes,1
529,frequency range,1
530,in-line volume,3
531,lifetime warranty,4
532,set of earbuds,2
533,wires are so thin,1
534,ink,2
535,fall,19
536,horrible,1
537,sweat proof,6
538,wish the battery,1
539,single charge,2
540,clip is a nice,1
541,great pair,1
542,good and the sound,2
543,sound as good,2
544,exercise,1
545,headphones that sound,1
546,beats,4
547,dollar,1
548,cheap plastic,1
549,back together,1
550,cheaply made,2
551,within 3 months,1
552,play pause,7
553,cancelling feature,2
554,battery compartment,1
555,next track,1
556,original ones,2
557,came with my galaxy,5
558,original pair,1
559,nothing like,1
560,headphones for the price,2
561,fantastic,1
562,player,8
563,wiring,1
564,push to hear,1
565,never heard,5
566,good seal,5
567,high quality,7
568,stay in my ear,9
569,isport livestrong,1
570,controltalk,1
571,lance armstrong,1
572,perfect fit,1
573,light weight,4
574,fall asleep,3
575,super comfortable,2
576,neck piece,1
577,neckband,2
578,multiple devices,1
579,cost,5
580,beoplay app,1
581,bose soundsport,3
582,comply foam,3
583,built-in microphone,1
584,headphones i have ever,1
585,dual cable,1
586,sport earbuds,1
587,memory wire,3
588,lasted me about 2 months,1
589,nokia e71x phone,1
590,stereo,2
591,together behind,1
592,high performance,1
593,claritymobile high,1
594,performance in-ear,1
595,magnetic feature,1
596,able to use,1
597,usb adapter,1
598,like listening,1
599,sound like,2
600,headphones without,1
601,use the headphones,1
602,heart rate,4
603,sport pulse,1
604,apple watch,1
605,best buy,3
606,red light,3
607,stay in your ears,3
608,poor design,1
609,drop,1
610,wireless headphone,2
611,best sounding,3
612,sennheiser hd1 free,1
613,lost connection,1
614,sound better,3
615,satisfied,1
616,left bud,1
617,couple years,1
618,pair that lasted,1
619,favorite headphones,2
620,dollar store,1
621,real deal,3
622,buttons work,2
623,like the ones,3
624,ear canals,3
625,small ear,2
626,bought a pair,3
627,women,1
628,expecting,1
629,excited,1
630,name,1
631,silicone,1
632,smallest,1
633,tinny,2
634,talk time,1
635,really like,14
636,ones that came,5
637,knock offs,3
638,headphones that came,1
639,eligible for return,1
640,look and feel,2
641,akg headphones,1
642,handset lifter,1
643,easy to install,1
644,easy to set,1
645,ehs cable,1
646,desk phone,1
647,skype,1
648,computer,2
649,office,1
650,sounds isint even good,1
651,sound very good,2
652,noise isolating,1
653,still hear,3
654,like these skullcandy earbuds,1
655,earbuds for the price,1
656,best sound,3
657,target,1
658,hearing,1
659,recommend these to anyone,6
660,working after 2 months,2
661,floral,1
662,sad,1
663,happened,1
664,wires,3
665,earhooks,1
666,earhook headphones,1
667,model sony mdr-as,1
668,hard time,2
669,sound is very good,1
670,plugs,1
671,special edition,1
672,riding my motorcycle,1
673,around your ear,4
674,behind the neck,2
675,ever heard,5
676,chord mojo,1
677,dac and dedicated tube amp,1
678,best ever,2
679,listening experience,1
680,pair well,1
681,iems including,1
682,sound signature,2
683,sound quality is great,1
684,weird,1
685,biggest,1
686,multiple,2
687,cord to short,1
688,bluetooth headset,9
689,good noise,1
690,pocket,5
691,sharp edges,1
692,last a long,5
693,without the mic,1
694,stay in the ear,1
695,controls,4
696,extension,2
697,cutting,2
698,fit in my ears,3
699,wireless noise,1
700,matte black,1
701,wi-c600n wireless,1
702,smoking buds,1
703,best fit,1
704,especially for the price,1
705,pair of earbuds,5
706,allows,1
707,play and pause,3
708,volume buttons,1
709,octagon in-ear,1
710,every day,7
711,mids and high,1
712,multiple sizes,1
713,fit perfectly,3
714,length,2
715,limited edition,2
716,able to hear,4
717,better sound,4
718,lack of bass,2
719,amazing sound,4
720,clarity,1
721,use for phone,1
722,love sennheiser,1
723,sweat guard,1
724,sports headphones,4
725,guard mechanism,1
726,gym bag,2
727,cable management,1
728,included earbuds,1
729,use the earbuds,1
730,bud covers,1
731,absolutely love,1
732,anything else,2
733,power button,6
734,pairing process,1
735,ear plugs,1
736,going strong,2
737,last for a long,1
738,bought this pair,1
739,recommend it to anyone,2
740,already broken,1
741,mic button,1
742,different lengths,1
743,piece broke,1
744,quality is really,1
745,via bluetooth,1
746,short cord,2
747,extension cord,1
748,cord length,3
749,smokin buds,2
750,back of my neck,2
751,low battery,2
752,petite earbuds,1
753,ears stay,1
754,tiny,1
755,canals,1
756,smaller,1
757,earbuds ever,4
758,quality is better,1
759,yurbuds,1
760,cush fins,1
761,sound isolating,4
762,sent it back,1
763,good news,1
764,device,9
765,swimming,2
766,walkman,2
767,pool,3
768,waterproof,3
769,mode,2
770,previous,2
771,hybrid,1
772,white noise,2
773,hissing noise,1
774,worked fine,1
775,pleasantly surprised,2
776,brands,1
777,single ear,1
778,single earbud,1
779,ear open,1
780,stereo to mono,1
781,left and right,2
782,going on around,2
783,charging port,2
784,quit working,5
785,behind the head,1
786,top of my head,2
787,ear cushions,1
788,something over the top,1
789,want something,1
790,earbuds want,1
791,long cord,1
792,stethoscope effect,1
793,airplane adapter,1
794,set of headphones,3
795,se-cx9 headphones,1
796,earpieces,2
797,wireless charging,3
798,sony mdr-w,1
799,side firing,1
800,old sony,1
801,sony headphones,1
802,small head,1
803,replacement for sony,1
804,large head,1
805,easy to connect,2
806,halo free,1
807,right away,2
808,different sized,1
809,always seem,1
810,love the jvc marshmallow,1
811,hard of hearing,2
812,older sennheiser,1
813,plug,4
814,balance,1
815,front,1
816,watching,2
817,even though,6
818,stop working,1
819,last even half as long,1
820,buy another,3
821,drivers,1
822,truly,1
823,heard,2
824,liking,1
825,nozzle,1
826,blue,3
827,customize,1
828,ears nicely,1
829,crisp,1
830,unique,1
831,touch,1
832,break,5
833,older,1
834,affordable,2
835,cancelling and ambient,1
836,quality is pretty good,1
837,microphone does not work,1
838,bass quality,1
839,behind the ear,1
840,wave bluetooth,1
841,play music,1
842,proof,1
843,sport earphones,1
844,wings ultra-light,1
845,decent sound,3
846,use them everyday,1
847,sennheiser momentum,1
848,helps keep,1
849,hear the music,3
850,keep them in place,1
851,great product for the price,1
852,standard,1
853,paired,1
854,tested,1
855,coach,1
856,ear monitors,1
857,in-ear monitors,2
858,half the price,1
859,transmitter,1
860,around the house,3
861,great quality,4
862,voice quality,1
863,great headset,2
864,people can hear,1
865,business calls,1
866,work from home,1
867,pull out of your ear,1
868,like i said,1
869,jabra elite,2
870,poor,4
871,isport,1
872,fully,1
873,htc,1
874,blown away,2
875,every penny,3
876,read the manual,1
877,swim cap,1
878,open water,1
879,worst headphones,1
880,quality is just as good,1
881,controls are way,1
882,fits great,1
883,apple earphones,1
884,rubber cover,3
885,ear head,1
886,ears very well,1
887,pause music,1
888,smaller ones,1
889,sound can be tinny,1
890,mic works,2
891,bang for the buck,5
892,fit issues,1
893,loss of volume,1
894,back of the neck,1
895,volume to the right,1
896,inner ear,2
897,mid range,4
898,smart key,1
899,like the original,1
900,volume button,1
901,leave,1
902,bluetooth cable,3
903,apple store,1
904,red and white,1
905,bang for your buck,7
906,buyer beware,2
907,wep,1
908,forget,1
909,year old,3
910,diddy beats,1
911,dre beats,1
912,fall out of your ears,2
913,return policy,1
914,powerbeats 3 wireless,1
915,next day,1
916,buds ever,1
917,turn your head,1
918,inside your ear,2
919,motorcycle helmet,1
920,rate monitor,2
921,passive noise,2
922,stay connected,1
923,phone is in my pocket,1
924,broke within,2
925,sport coach,2
926,coach wireless,1
927,cross training,1
928,sport life,1
929,stay in your ear,1
930,hiss,1
931,powerbeats pro,1
932,original box,1
933,definitely recommend,5
934,talking on the phone,1
935,use the left,1
936,portable dvd,1
937,headphones do stay,1
938,headphones have a great,1
939,backbeat 116 green,1
940,green headset,1
941,another set,2
942,music listening,1
943,still get,1
944,ears well,1
945,advocate program,1
946,participated in an advocate,1
947,participation opinions,1
948,behalf of panasonic usa,1
949,program on behalf,1
950,usa received,1
951,part of my participation,1
952,received product samples,1
953,bought my first pair,1
954,sound is loud,1
955,balanced armature,2
956,comply foam tips,1
957,output impedance,1
958,far so good,1
959,battery last,3
960,gumy plus,3
961,pistachio green,2
962,keeps falling,1
963,broke after about 8 months,1
964,good product for the price,1
965,charged,2
966,cute love,1
967,jib active,1
968,quit,1
969,flat wire,1
970,decided,1
971,blue color,1
972,noise cancelation,5
973,last as long,1
974,bought another,1
975,love sony headphones,1
976,bought another pair,1
977,quality these are great,1
978,highly recommended,1
979,great for listening,1
980,phone conversation,1
981,engine noise,1
982,lasted 5 years,1
983,comfortable earbuds,1
984,favorite earbuds,2
985,adjust,1
986,low latency,2
987,aptx low,1
988,washer and dryer,1
989,jack,4
990,shaped,1
991,buds were great,1
992,couple months,3
993,bit awkward,1
994,sound in one ear,1
995,dollars,1
996,in-ear,2
997,replace,1
998,really well,1
999,headphones are great,2
1000,skip,1
1001,broken,1
1002,previous models,1
1003,back of the head,1
1004,sennheiser pmx,1
1005,sport headphones,2
1006,around the head,1
1007,older model,1
1008,fit comfortably,3
1009,better than expected,1
1010,bose,3
1011,pause,1
1012,backbeat pro,2
1013,mute button,2
1014,sound was great,1
1015,iems,1
1016,turned,1
1017,audiophile,2
1018,pause play,2
1019,apple earpods,1
1020,iphone controls,1
1021,waiting,1
1022,earplugs,1
1023,radio shack,1
1024,apple headphones,1
1025,variety of colors,1
1026,pretty much,2
1027,quality is amazing,1
1028,hearing aids,2
1029,speech intelligibility,1
1030,optical output,1
1031,wearing comfort,1
1032,model for years,1
1033,headphones ever,4
1034,within a few days,1
1035,worth every,2
1036,sony mdr-ex,1
1037,work very well,1
1038,used bose,1
1039,bose noise,1
1040,gear iconx,1
1041,gear app,1
1042,fit in your ears,1
1043,different colors,1
1044,bass boost,1
1045,boost function,1
1046,bass wireless,1
1047,set of bluetooth,1
1048,quality was good,1
1049,hours on a charge,1
1050,find in stores,1
1051,love these earbuds,2
1052,last 10 years,1
1053,digital optical,1
1054,hearing loss,1
1055,sennheiser flex,1
1056,base unit,1
1057,watch movies,1
1058,right out of the box,1
1059,big ears,1
1060,around my ear,3
1061,well worth,2
1062,stock ipod,1
1063,endurance sprint,1
1064,change volume,2
1065,try to adjust,1
1066,good care,1
1067,headphones and speakers,1
1068,awareness mode,1
1069,touch sensitive,2
1070,volume controls,1
1071,inline volume,1
1072,kindle fire,1
1073,pillow speaker,1
1074,turn the volume,1
1075,spend,1
1076,update,1
1077,bass and clear,1
1078,features,1
1079,mids,3
1080,worked well,1
1081,synchros reflect,1
1082,recommend anyone,1
1083,treble,1
1084,controlled,1
1085,deep,1
1086,sounding,2
1087,matter,1
1088,drive,1
1089,fiio,1
1090,require,1
1091,sound leakage,1
1092,totally,1
1093,elite active,2
1094,voice prompts,2
1095,come loose,1
1096,allows you to hear,1
1097,like the bluetooth,1
1098,adapter,1
1099,devices,4
1100,sport rox,1
1101,last 5 hours,1
1102,keep them in my ears,1
1103,usually,1
1104,giving,1
1105,like new,4
1106,sound was very good,1
1107,every 6 months,1
1108,sound was good,1
1109,secure fit,1
1110,gumy ear,1
1111,job done,2
1112,hafx5b gumy,1
1113,plus inner,1
1114,save my money,1
1115,frequency response,3
1116,sound pretty,2
1117,pretty decent,1
1118,koss ksc,1
1119,logo,1
1120,bulls,1
1121,lakers,1
1122,team,1
1123,right arm,1
1124,armband,1
1125,stereo headset,3
1126,sport bluetooth,1
1127,bluetooth stereo,1
1128,use for swimming,1
1129,swim,1
1130,lock,1
1131,followed,1
1132,instructions,1
1133,loaded,1
1134,inked earbuds,1
1135,bose soundtrue,1
1136,better than bose,1
1137,universal remote,1
1138,clear and crisp,2
1139,sounds great,1
1140,audio jack,1
1141,fit in the ears,1
1142,stoped working,1
1143,lightning connector,2
1144,around my ipod,1
1145,cut,1
1146,switch,1
1147,bose quietcomfort,1
1148,fit as well,1
1149,physical activity,1
1150,falling apart,1
1151,airpods,2
1152,international version,1
1153,smart control,1
1154,control app,1
1155,turbo mode,1
1156,neck band,1
1157,xtreme xplosives,1
1158,low cost,1
1159,turbine pro,1
1160,davis tributes,1
1161,carrying cases,1
1162,kind of blue,1
1163,price tag,1
1164,use the right,1
1165,flex sleeves,1
1166,foam sleeves,1
1167,background hiss,1
1168,candy,1
1169,refurbished headphones,1
1170,quality are great,1
1171,missing,1
1172,anymore,1
1173,active sports,1
1174,apple airpods,2
1175,listen to podcasts,1
1176,top notch,1
1177,air executive,1
1178,fit each ear,1
1179,super light,1
1180,headphones we have ever,1
1181,glasses,1
1182,obviously,1
1183,better than my beats,1
1184,headphones that have been great,1
1185,immediately,1
1186,told,1
1187,change their shape,1
1188,earbuds that come,1
1189,nothing special,1
1190,uncomfortable to wear,2
1191,buds live,1
1192,airpod pros,1
1193,soundsport free,1
1194,eartips,1
1195,quality good,1
1196,harman,1
1197,balanced,1
1198,shure,1
1199,epic sport,1
1200,sweat a lot,1
1201,headphones never,1
1202,proprietary charger,1
1203,original packaging,1
1204,buy new,1
1205,much base,1
1206,fit my ear,1
1207,pretty well,1
1208,look cool,1
1209,clip-on headphones,1
1210,addition to my creative,1
1211,creative nomad,1
1212,jukebox zen,1
1213,nomad jukebox,1
1214,zen nx xtra,1
1215,arm band,1
1216,seems to suffer,1
1217,suffer rather,1
1218,isport intensity,1
1219,bose sie,1
1220,inspiration in-ear,1
1221,dollar range,1
1222,android phone,1
1223,really nice,2
1224,earbuds for years,1
1225,lasted for about 8 months,1
1226,backbeat,2
1227,fail,1
1228,last number,1
1229,vibrate feature,1
1230,found this headset,1
1231,turn the headset,1
1232,good headset,1
1233,couple weeks,1
1234,ipod headphones,1
1235,bang for buck,1
1236,cheap pair,1
1237,elite sport,1
1238,sit in my ear,1
1239,speaker,1
1240,pink as the pink ones,1
1241,discontinued,1
1242,newer,1
1243,replaced,1
1244,air pods,1
1245,beats solo,1
1246,lasted about 6 months,1
1247,return window,1
1248,replacement pair,1
1249,wired earbuds,2
1250,endurance run,1
1251,tiny ears,1
1252,headphones at work,1
1253,similar,1
1254,lasts long,2
1255,battery lasts,2
1256,fit very snugly,1
1257,long enough,1
1258,come with different,2
1259,break easily,1
1260,made of plastic,1
1261,keep that in mind,1
1262,persona 3 fan,1
1263,studio wireless,1
1264,bluetooth settings,1
1265,paired with my phone,1
1266,stop,1
1267,change songs,1
1268,behind your head,1
1269,bluetooth adapter,3
1270,ear-bud headphones,1
1271,message,1
1272,get a good,1
1273,best earphones,1
1274,quiet comfort,2
1275,bose quiet,2
1276,water resistant,1
1277,hear your music,1
1278,large ears,1
1279,conference calls,1
1280,noisy environments,1
1281,paired easily,1
1282,quality is not so good,1
1283,headphones paired,1
1284,bass slider,1
1285,haptic bass,1
1286,crusher wireless,1
1287,closer to my mouth,1
1288,turn up the volume,1
1289,belly button,1
1290,fit in my ear,4
1291,life is not as good,1
1292,mdr-ex,1
1293,arc supporters,1
1294,months ago,1
1295,outside world,1
1296,find them very comfortable,1
1297,original cable,1
1298,new set,1
1299,replacement cable,1
1300,bought a replacement,1
1301,cables,1
1302,inch,1
1303,shorter,1
1304,iem,2
1305,many years,1
1306,poor sound,1
1307,avfwe ehs,1
1308,ehs64avfwe,1
1309,hook,1
1310,replacements,1
1311,within two months,1
1312,lasted 2 months,1
1313,great earbuds,2
1314,stopped connecting,1
1315,turn my head,2
1316,something else,2
1317,jbuds,1
1318,rugged,1
1319,steel,1
1320,pair of phillips,1
1321,bluetooth receiver,1
1322,bluetooth device,1
1323,center button,1
1324,ambient mode,1
1325,indy evo,1
1326,movie mode,1
1327,replacement,1
1328,travel,1
1329,blue lights,1
1330,flat to bass,1
1331,small size,1
1332,controls did not work,1
1333,low quality,1
1334,working after 10 month,1
1335,cheap headphones,1
1336,fake,1
1337,oem,1
1338,buds like,1
1339,earbuds are great,1
1340,shirt clip,1
1341,quality was not good,2
1342,pieces,1
1343,wired ones,1
1344,works very well,1
1345,use with xperia,1
1346,ambient aware,2
1347,macbook pro,1
1348,remote control,1
1349,ipod touch,1
1350,ipod shuffle,1
1351,mdrex blk,1
1352,pause and play,1
1353,daily,1
1354,change the sound,1
1355,wireless sport,1
1356,app allows,1
1357,bit long,1
1358,buds to fit,1
1359,expected better,1
1360,mic work,1
1361,microphone works,1
1362,epic air,1
1363,connectivity issues,1
1364,audio epic,1
1365,usb dongle,1
1366,skype for business,1
1367,earphone started,1
1368,smart phone,1
1369,wired headsets,1
1370,left right,1
1371,nice feature,1
1372,well constructed,1
1373,corded stereo,1
1374,stereo wired,1
1375,day every day,1
1376,seal,1
1377,never buy,1
1378,good fit,2
1379,talk thru,1
1380,clear highs,1
1381,way better,2
1382,seemed like,1
1383,like the color,1
1384,size ear,1
1385,sounded great,1
1386,quality is not good,1
1387,sound from these earphones,1
1388,wings,1
1389,playtime,1
1390,get loud,1
1391,fall out of ears,1
1392,returned,1
1393,workouts,1
1394,phones,2
1395,function,1
1396,leather,1
1397,turbine pearl,1
1398,honest opinion,1
1399,ear speakers,1
1400,crisp and clear,1
1401,fit your ears,1
1402,feel cheap,1
1403,quality is ok at best,1
1404,amazing monster sound,1
1405,worth its price,1
1406,washing machine,1
1407,life is good,1
1408,performance,1
1409,workout,3
1410,advertised,1
1411,charge it every,1
1412,burn,1
1413,cks,1
1414,google assistant,1
1415,detachable cable,1
1416,son loves,1
1417,crisp sound,1
1418,mute switch,1
1419,mic mute,1
1420,earbuds with a mute,1
1421,gaming,1
1422,bother,1
1423,push a button,1
1424,fully charge,1
1425,several times,1
1426,audio equipment,1
1427,getting harder,1
1428,bowers and wilkins,1
1429,buy a new,1
1430,much bass,1
1431,missing clip,1
1432,outside,1
1433,shirt,1
1434,mdr-w,1
1435,please,1
1436,sports,1
1437,rain,1
1438,weak,1
1439,ultra lightweight,1
1440,cord is too short,1
1441,fit flush against my ears,1
1442,remote,1
1443,bit more bass,1
1444,love the sound,1
1445,ltd,1
1446,earphone,1
1447,youtube,1
1448,thin,1
1449,prefer,1
1450,whole day,1
1451,last me the whole,1
1452,quality of this headset,1
1453,life is great,1
1454,ultra true,1
1455,push ultra,1
1456,quality but still,1
1457,nice overall sound,1
1458,active style,1
1459,loop hangers,1
1460,volume is so low,1
1461,foam ear,1
1462,last a very long,1
1463,sound is amazing,1
1464,give these a try,1
1465,isport champion,1
1466,holds,1
1467,based on a wirecutter,1
1468,range response,1
1469,good value,1
1470,ink plus,1
1471,plus active,1
1472,amazing battery,1
1473,previous model,1
1474,connects,1
1475,constantly,1
1476,pair lasted,1
1477,good and battery,1
1478,garbage,1
1479,bought these earbuds,1
1480,decent price,1
1481,great and the price,1
1482,sony,1
1483,mdr-as210 sports,1
1484,extra money,1
1485,mdrpq grn,1
1486,urbanite xl wireless,1
1487,put back,1
1488,touch pad,1
1489,cons,1
1490,bluetooth dongle,1
1491,sport pace,1
