,Titles,Brands,Prices,Stars,Ratings,Review_Words
19,"Plantronics BackBeat FIT 300 Sweatproof Sport Earbuds, Wireless Headphones, Black/Grey",Plantronics,28.99,3.2,49.0,"['sound quality', 'backbeat fit', 'battery life', 'right ear', 'stopped working', 'left earbud', 'seems like', 'good sound', 'right side', 'sound and battery', 'great headphones', 'running', 'stay', 'broke', 'ears', 'bluetooth']"
20,Audio-Technica ATH-LS200iS In-Ear Dual Armature Driver Headphones with In-Line Mic & Control,Audio-Technica,249.0,4.2,10.0,['No Review']
21,Sony MDR-EX110AP-B Ex Monitor in-Ear Headphones with Microphone (Black),Sony,,4.2,100.0,"['sound quality', 'another pair', 'good sound', 'mic', 'earbuds', 'bass', 'durability', 'ears', 'calls', 'compared', 'hear', 'wire', 'cheaper', 'comfort', 'died', 'due', 'earbud', 'impressed', 'noise']"
22,"Plantronics BackBeat FIT 2100 Wireless Headphones, Sweatproof and Waterproof in Ear Workout Headphones, Black (Renewed)",Amazon Renewed,,2.9,23.0,['No Review']
23,Powerbeats Pro Totally Wireless Earphones - Apple H1 Chip - Spring Yellow with AppleCare+ Bundle,Beats,228.95,5.0,0.0,['No Review']
24,Beats urBeats3 Earphones with 3.5 mm Plug - Black (Renewed),Amazon Renewed,38.0,4.4,361.0,"['sound quality', 'sound great', 'good sound', 'sound so good', 'earbuds', 'headphones', 'iphone', 'broke', 'cord', 'earphones', 'refurbished', 'renewed', 'bass', 'sounds']"
25,JBL Reflect Response in-Ear Bluetooth Sport Headphones,JBL,59.95,3.3,24.0,"['around the neck', 'sound quality', 'ear', 'headphones', 'sensitive', 'button', 'volume', 'worst']"
26,"Audio-Technica ATH-C200iS In-Ear Headphones with In-Line Mic & Control, Black",Audio-Technica,14.99,3.1,5.0,['No Review']
27,"Pioneer Hi-Res Audio in-Ear Headphones, Black SE-CH3T(B)",Pioneer,23.0,4.0,61.0,"['sound quality', 'in-ear headphones', 'audio in-ear', 'hi-res audio', 'comfortable to wear', 'audio books', 'earbud', 'clear sound', 'good sound', 'sound good', 'headphones that cost', 'excellent sound', 'sound suffered great']"
28,"Shure SE425 Sound Isolating Earphones with 3.5mm Cable, Remote and Mic, Silver",Shure,,3.9,16.0,['No Review']
29,"Sony WI-C300 Wireless In-Ear Headphones, Black (WIC300/B)",Sony,29.0,3.8,499.0,"['sound quality', 'battery life', 'great sound', 'wireless headphones', 'stopped working', 'in-ear headphones', 'earbud', 'phone calls', 'good sound', 'pretty good', 'right earbud', 'wireless in-ear']"
30,"Audio-Technica ATH-ANC300TW QuietPoint Wireless Active Noise-Cancelling in-Ear Headphones, Black",Audio-Technica,229.0,4.2,4.0,['No Review']
31,Audio-Technica ATH-WS1100iS Solid Bass Over-Ear Headphones with In-Line Microphone & Control,Audio-Technica,132.99,4.3,424.0,"['audio technica', 'sound quality', 'build quality', 'solid bass', 'mids and highs', 'ear cups', 'pair of headphones', 'sound great', 'clamping force', 'ear pads', 'closed back', 'gaming headset', 'soundstage']"
32,Sony MDR-ZX310AP/R ZX Series Stereo Headset - Red,Sony,27.99,4.4,2179.0,"['sound quality', 'stopped working', 'skull candy', 'noise cancelling', 'good for the price', 'great price', 'sound is good', 'price point', 'low end', 'pretty good', 'headphones', 'get what you pay', 'listening to music']"
33,JVC HAFX7MA GUMY Inner Ear Headphones with Remote and Microphone - Blue,JVC,17.74,4.5,29.0,['No Review']
34,Audio-Technica Inner Ear Headphone Black ATH-CKL220 BK,Audio-Technica,,3.4,34.0,['No Review']
35,Audio-Technica Consumer ATH-DSR5BT Wireless in-Ear Headphones,Audio-Technica,149.89,,0.0,['No Review']
36,Powerbeats3 Wireless In-Ear Headphones - Shock Yellow (Renewed),Amazon Renewed,78.95,4.2,443.0,"['brand new', 'battery life', 'noise cancellation', 'waste of money', 'ear buds', 'sound quality', 'stopped working', 'great sound', 'last pair', 'new ones', 'great value', 'quality and battery', 'sound great', 'refurbished', 'bass']"
37,"Monster Diesel VEKTR On-Ear Headphones with ControlTalk, Black (Discontinued by Manufacturer)",Monster,,3.1,56.0,"['miles davis', 'sound quality', 'ear canal', 'davis trumpet', 'daily use', 'stopped working', 'pretty good', 'great sound', 'ear bud', 'carrying case', 'worth the price', 'excellent sound', 'feel like', 'sound amazing']"
38,Koss KE10 JAMS Earbuds - Stereo - Orange - Mini-Phone - Wired - 32 Ohm - 40 Hz 20 kHz - Earbud - Bi,Koss,,,0.0,['No Review']
39,8 Pack - SHURE EAYLF1 Yellow Universal Replacement Foam Ear Tips Sleeves fit SHURE SE110 SE112 SE115 SE210 SE215 SE310 SE315 SE420 SE425 SE530 SE535 E3c E3g E4c E4g E5c in-Ear Headphones Earphones,Shure,14.89,4.1,22.0,['No Review']
40,Xtreme Xplosives Series Headphone with remote and Mic Blue (HAFX103A) - HAFX103MA,JVC,15.9,4.2,306.0,"['sound quality', 'earbuds', 'great sound', 'good sound', 'listen to music', 'earbuds instead', 'bass heavy', 'heavy bass', 'bought two more pair', 'sound is good', 'sound great', 'good sound quality', 'great bass']"
41,Koss In Ear Headphone iL100K - Black,Koss,14.99,3.1,13.0,['No Review']
42,Audio-Technica ATH-ANC33iS QuietPoint Active Noise-Cancelling In-Ear Headphones with In-Line Microphone & Control,Audio-Technica,38.99,3.6,718.0,"['noise cancelling', 'sound quality', 'noise cancellation', 'active noise', 'noise reduction', 'audio technica', 'battery pack', 'background noise', 'battery life', 'aaa battery', 'volume control', 'foam tips', 'ambient noise']"
43,Skullcandy Ink'd 2.0 Mic'd Ear Bud Headphone (Black),Skullcandy,16.95,4.1,4941.0,"['sound quality', 'stopped working', 'skullcandy', 'waste of money', 'earbud', 'another pair', 'volume control', 'good sound', 'listening to music', 'much better', 'headphones', 'last long', 'phone calls', 'left earbud']"
44,"Samsung Galaxy Buds+ Plus, True Wireless Earbuds w/Improved Battery and Call Quality (Wireless Charging Case Included), Purple with Fast Charge Wireless Charging Pad",SAMSUNG,,4.8,139.0,['No Review']
45,"Panasonic RP-HJE120 ErgoFit In-Ear Headphones Stereo Earbuds (6-Pack, Black)",Panasonic,52.99,4.9,28.0,"['earbuds', 'pack', 'decent', 'earphones', 'value', 'earbuds']"
46,"Skullcandy XTFree Bluetooth Wireless Sweat-Resistant Earbud with Microphone, Lightweight and Secure Fit, 6-Hour Rechargeable Battery, Pureclean Tech to Keep Earbuds Fresh, Black/Mint/Swirl",Skullcandy,39.98,3.8,821.0,"['battery life', 'sound quality', 'skullcandy', 'stopped working', 'phone in my pocket', 'hold a charge', 'bluetooth connection', 'great sound', 'good sound', 'second pair', 'quality is very good', 'bluetooth range']"
47,Panasonic SAKIOTO Sealed Earbuds (Dahlia Black) Inner Earphones,Panasonic,,4.0,6.0,['No Review']
48,Jabra Earboom Headset 2.5mm Universal Jack,Jabra,9.99,2.9,20.0,['No Review']
49,Koss BT190iK Wireless Bluetooth Earbuds | in-line Microphone & Touch Controls | Sweat Resistant | Three Cushion Sizes Included | 6 Hour Battery Life | Light Weight | Black,Koss,49.99,3.2,73.0,"['sound great', 'right side', 'highly recommend', 'good sound', 'sound quality', 'around neck', 'great sound', 'bluetooth earbuds', 'headphones', 'ear', 'stay', 'bass', 'buds', 'annoying', 'cord']"
50,Shure E4c Sound Isolating Earphones,Shure,,3.1,96.0,"['ear canal', 'sound quality', 'noise cancelling', 'outside noise', 'high end', 'much better', 'low end', 'make sure', 'yellow foam', 'year warranty', 'sound isolation', 'tight seal', 'ultimate ears', 'sound good', 'triple flange']"
51,Sony Deep Bass Earphones - Metallic White,Sony,27.75,4.3,469.0,['No Review']
52,JVC HAFX103MA Blue Xtreme Xplosives in-Ear Headphones Original/New Brand,JVC,24.98,4.0,63.0,['No Review']
53,"Pioneer IRONMAN, Blue",Pioneer,13.98,4.3,149.0,"['ear pieces', 'battery life', 'sound quality', 'sweat resistant', 'stopped working', 'easy to use', 'easy to pair', 'full charge', 'bluetooth headphones', 'great sound', 'sound is good', 'another pair']"
54,Sennheiser CX 5.00G Black In-Ear Canal Headset (Discontinued by Manufacturer),Sennheiser Consumer Audio,,3.8,345.0,"['sound quality', 'strain relief', 'build quality', 'earbuds fall', 'long time', 'split open', 'controls work', 'great sound', 'highly recommend', 'wire started', 'come off too easily', 'phone cases', 'sennheiser headphones']"
55,"Sennheiser Momentum True Wireless 2 - Bluetooth Earbuds with Active Noise Cancellation, Smart Pause, Customizable Touch Control and 28-Hour Battery Life - White (M3IETW2 White)",Sennheiser Consumer Audio,297.22,4.1,489.0,"['sound quality', 'battery life', 'true wireless', 'noise cancellation', 'airpods pro', 'charging case', 'transparent hearing', 'active noise', 'noise cancelling', 'momentum true', 'wireless earbuds', 'firmware update']"
56,Victor Ha Fx33x B [Earbud Headphone Black] Japan Import,JVC,65.11,3.9,30.0,['No Review']
57,JVC Premium Noise Isolating Lightweight Deep Bass Stereo Headphones,JVC,,1.5,2.0,['No Review']
58,"Sony WI-SP500 Wireless in-Ear Sports Headphones, Black (WISP500/B) (Renewed)",Amazon Renewed,19.95,3.7,121.0,"['battery life', 'headphones', 'bluetooth', 'refurbished', 'ear', 'noise', 'sale', 'stay', 'headset']"
59,Philips SHE5105PP/98 St. Germain Headphones (Purple) (Discontinued by Manufacturer),PHILIPS,24.99,3.3,54.0,"['sound quality', 'earbuds', 'deep bass', 'small ears', 'flat cord', 'great sound', 'stay in my ears', 'highly recommend', 'great value', 'also flat', 'buds which sounded great', 'quality is great', 'works great']"
60,Sennheiser MX 365 Earphones - White (Discontinued by Manufacturer),Sennheiser Consumer Audio,17.9,4.2,3901.0,"['sound quality', 'ear canal', 'much better', 'another pair', 'price range', 'pretty good', 'foam pads', 'foam covers', 'ever owned', 'earbud', 'last long', 'sound good', 'build quality', 'long time', 'price point']"
61,"Philips Over The Ear Sport Earbuds with Mic, Earphones for Sports, Running and Gym (SHS3305BK/27) - Black",PHILIPS,24.99,4.0,174.0,"['sound quality', 'small ears', 'ear buds', 'stay in my ears', 'headphones', 'earphones', 'mic', 'phillips', 'headset', 'audio', 'comfort', 'decent', 'earbuds', 'terrible', 'volume', 'wired']"
62,Panasonic RPHV21GA In-Ear Earbud Heaphones with Built-in Clip (Green) (Discontinued by Manufacturer),Panasonic,,3.4,61.0,"['earbuds', 'sound quality', 'great value', 'great for the price', 'sound great', 'sound good', 'earbuds', 'ears', 'clip', 'tangled', 'earphones', 'hear', 'hurt', 'ipod', 'apple', 'connection', 'durable', 'wearing']"
63,"Bang & Olufsen Beoplay E6 In-Ear Wireless Earphones - Black, One Size - 1645300",Bang & Olufsen,200.0,3.6,345.0,"['sound quality', 'battery life', 'foam tips', 'wireless earphones', 'charging cable', 'around your neck', 'bang and olufsen', 'earbuds', 'comply tips', 'stay put', 'sizes of silicone', 'noise cancelling', 'great sound']"
64,JVC HA-FX23-B-E noir,JVC,14.25,3.3,12.0,['No Review']
65,Audio-Technica Inner Ear Headphone Light Green ATH-CKL220 LGR,Audio-Technica,,4.7,3.0,['No Review']
66,"Wireless Earbuds, Monster Clarity 101 AirLinks Bluetooth Earbuds 5.0 with Charging Case,30H Playback Time, Bluetooth Headphones Built-in Mic, Truely Wireless Headphones with Deep Bass for Sport, Black",Monster,79.99,4.3,1649.0,"['sound quality', 'battery life', 'charging case', 'wireless earbuds', 'noise cancellation', 'touch controls', 'true wireless', 'easy to use', 'double tap', 'stopped working', 'deep bass', 'sound good', 'price point']"
67,PANASONIC RP-HV145 Stereo Earphones (Discontinued by Manufacturer),Panasonic,,,0.0,['No Review']
68,Panasonic stereo headphone pink / violet RP-HJE165-Z (Japan Import),Panasonic,,4.0,65.0,['No Review']
69,"Audio Technica SonicPro Port ATH-CKM500I In-ear Headphones with Mic & Volume Control for iPod, iPhone, and iPad - White",Audio-Technica,54.98,3.0,30.0,['No Review']
70,Sony MDR-XB80BS Red Premium Waterproof Bluetooth Wireless Extra Bass Sports in-Ear 7 Hr of Playback Headphones/Microphone (International Version),Sony,,3.9,9.0,['No Review']
71,"JVC HAF150R Headphone, Gumy, Cord-Match (Discontinued by Manufacturer)",JVC,17.99,3.6,129.0,"['sound quality', 'last long', 'work perfectly', 'best headphones', 'gumy headphones', 'good quality', 'gumy earbuds', 'high school', 'earbuds', 'pretty good', 'still work', 'little bit', 'hurt my ears']"
72,in-Ear Headphones with Microphone (Teal),JVC,14.95,,0.0,['No Review']
73,Pioneer SE-CL502T-L Lightweight in-Ear Headphone with in-Line Microphone - Blue,Pioneer,11.78,4.4,10.0,['No Review']
74,"Skullcandy Jib in-Ear Noise-Isolating Earbuds with Microphone and Remote for Hands-Free Calls, Lightweight, Stereo Sound and Enhanced Base, Wired 3.5mm Jack, Sunset/Black",Skullcandy,,4.1,120.0,['No Review']
75,"Philips Flexible Earhook Headphones, Pink (SHS3200PKS/27)",PHILIPS,15.69,4.0,24.0,['No Review']
76,"Bang & Olufsen Beoplay E6 Motion In-Ear Wireless Earphones, Graphite, One Size - 1645309",Bang & Olufsen,200.0,4.1,50.0,['No Review']
77,JVC Victor In-ear Stereo Headphones | HA-FXD70-S Silver (Japanese Import),JVC,56.22,3.6,52.0,['No Review']
78,"Sony MDREX15AP In-Ear Earbud Headphones with Mic, Black (MDREX15AP/B)",Sony,9.99,4.3,4084.0,"['sound quality', 'stopped working', 'left side', 'last long', 'left earbud', 'good price', 'great sound', 'earbud', 'pretty good', 'get what you pay', 'waste your money', 'listening to music', 'second pair', 'new pair']"
79,Gumy Earbud Headphones,JVC,9.98,4.5,83.0,['No Review']
80,JBL T280A Stereo Ear Headphones/Phone Headset Black Pearl,JBL,28.79,3.8,5.0,['No Review']
81,JBL Reflect Mini 2 Wireless in-Ear Sport Headphones with Three-Button Remote and Microphone - Black,JBL,45.0,3.9,247.0,"['battery life', 'sound quality', 'reflect mini', 'stopped working', 'great sound', 'ear pieces', 'earbuds', 'noise cancellation', 'listen to music', 'good battery', 'feel like', 'ambient noise', 'christmas gift', 'great battery']"
82,JVC HAEBT5P Pink Sports Headphones,JVC,,4.2,7.0,['No Review']
83,Sony Hi-Res Sealed Hybrid Earphone IER-Z1R(International Version),Sony,,4.9,14.0,['No Review']
84,JVC NAGARAKU SP-A10BT ウェアラブルネックスピーカー ブラック SP-A10BT-B,JVC,160.0,4.0,325.0,['No Review']
85,Sony MDR-XB41EX Extra Bass Headphones (Discontinued by Manufacturer),Sony,,4.3,41.0,"['sound quality', 'highs and mids', 'noise isolation', 'in-ear headphones', 'best headphones', 'ever owned', 'extra bass', 'beats tours', 'ever used', 'excellent sound', 'pair of headphones', 'ear headphones', 'great bass']"
86,Sony Mdr-E10Lp/Pgrn Headphones - Fashion Earbuds (Green) (Discontinued by Manufacturer),Sony,,4.2,18.0,"['sound quality', 'ever owned', 'headphones good', 'earbuds', 'earphones', 'green', 'headphone', 'earbud', 'lasted', 'low']"
87,"Pioneer Ironman Sweat-Resistant Sports Earphones, Black SE-E3M(B)",Pioneer,14.9,4.0,141.0,"['sweat resistant', 'ear hooks', 'stay in place', 'sound quality', 'stay put', 'earbuds', 'great sound', 'sound amazing', 'sounds really good', 'great price', 'behind the ears', 'around the ears', 'fit well']"
88,Sony MDR-AS410AP/B - Sport - Earphones with mic - in-Ear - Over-The-Ear Mount - Gray (MDRAS410AB),Sony,24.99,4.3,81.0,"['sound quality', 'ear', 'headphones', 'stay', 'earbuds', 'rubber']"
89,Panasonic in-Ear Lightweight Water-Resistant Active Sport Stereo Headphones (Black),Panasonic,,5.0,0.0,['No Review']
90,"JVC Soft Wireless Earbud with Stayfit Tips, Remote and Mic and Bluetooth Black (HA-FX9BTB)",JVC,19.99,3.7,410.0,"['battery life', 'sound quality', 'wireless earbuds', 'price point', 'good sound', 'much better', 'stopped working', 'waste of money', 'phone calls', 'stay in my ears', 'earbuds', 'hold a charge', 'works great', 'wireless earbud']"
91,JVC – FX38 M E In-Ear Headphones with 1-Button Remote Control and Microphone Green,JVC,16.99,4.3,24.0,['No Review']
92,"JLab Audio Go Air True Wireless Bluetooth Earbuds + Charging Case | Green | Dual Connect | IP44 Sweat Resistance | Bluetooth 5.0 Connection | 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost",JLAB,29.88,4.1,3483.0,"['battery life', 'sound quality', 'stopped working', 'wireless earbuds', 'charging case', 'touch controls', 'earbud', 'noise cancellation', 'loud enough', 'great sound', 'good for the price', 'easy to use']"
93,JBL Endurance RUN Sweatproof Sports In-Ear Headphones with One-Button Remote and Microphone (Black),JBL,,4.4,135.0,"['sound quality', 'great sound', 'fall out of my ears', 'earbuds', 'sound good', 'love these headphones', 'headphones great', 'headphones sound', 'earbuds', 'gym', 'earbud', 'cord', 'noise', 'stay', 'button', 'running']"
94,KOSS 186511 TD85 Full-Size Noise-Isolating Headphones,Koss,43.13,,0.0,['No Review']
95,RP HJE 125E - Ergofit - Blau,Panasonic,7.9,4.3,1870.0,['No Review']
96,"Koss KE10C Scalped Stereo Earbuds, Coral",Koss,,3.7,5.0,['No Review']
97,"Panasonic RP-TCM115 Canal-Type in-Ear Headphones, Black",Panasonic,,,0.0,['No Review']
98,"JVC in Ear Headphones HA-FX21BT - Stereo - Black - Wireless - Bluetooth - 32.8 ft - 20 Hz - 20 kHz - Earbud, Behind-The-Neck - Binaural - in-Ear",JVC,26.15,,0.0,['No Review']
99,Panasonic Stereo Earphones Suites Orange Jewel RP-HJF3-D (Japan Import),Panasonic,18.13,3.6,8.0,['No Review']
100,JVC HA-ETR40 Splashproof Sporty In-Earphone with one-button mic/remote - Red (International Version),JVC,71.53,3.8,35.0,['No Review']
101,Panasonic RPHJE180V Inner Ear Earbuds Large Driver (Violet) (Discontinued by Manufacturer),Panasonic,7.9,4.3,20.0,"['sound quality', 'good sound', 'earbuds', 'headphones', 'ear', 'bass', 'noise', 'rp-hje', 'sizes']"
102,"Sony MDR-EX25LP/PNK Earbuds, Pink (Discontinued by Manufacturer)",Sony,27.95,3.6,6.0,['No Review']
103,Jabra Eargels - Multi Colored,Jabra,9.99,2.5,14.0,['No Review']
104,Sony MDRAS800AP Active Sports Smartphone Headset (Black),Sony,,3.6,200.0,"['sound quality', 'battery life', 'single button', 'loud enough', 'increase the volume', 'wired version', 'much better', 'button control', 'pair of headphones', 'good sound', 'getting used', 'adjust the volume']"
105,"Koss Ear Bud Portable, Stereo",Koss,19.27,,0.0,['No Review']
106,JVC Premium Lightweight Xtreme Xplosives in-Ear Deep Bass Stereo Headphones with Remote and Mic (White),JVC,,2.5,2.0,['No Review']
107,"Panasonic RP-HS34-K Earphone Black Stereo - Mini-Phone - Wired - 23 Ohm - 10 Hz 25 kHz - Nickel Plated - Over-The-Ear, Earbud - Binaural - Outer-Ear - 3.94 ft Cable",Panasonic,,5.0,0.0,['No Review']
108,Philips Flite Hyprlite Wireless Bluetooth Earbuds - White (SHB4205WT/27),PHILIPS,22.99,4.0,45.0,['No Review']
109,Skullcandy Unisex Chops Bud Yellow/Black,Skullcandy,,3.5,274.0,"['sound quality', 'stay in place', 'good sound', 'ear canal', 'great sound', 'stay put', 'small ears', 'work perfectly', 'hurt my ears', 'quality is good', 'good price', 'pair of headphones', 'buds to stay', 'big for my ears']"
110,Panasonic RP-HJX6M-K in-Ear Monitor Headphones RPHJX6M Black,Panasonic,49.9,4.2,4.0,['No Review']
111,"Shure SE425-V+BT1 Wireless Sound Isolating Earphones with Bluetooth Enabled Communication Cable, Silver",Shure,299.0,3.8,60.0,"['sound quality', 'expect', 'wireless', 'bass', 'ear', 'connection', 'hear', 'listening', 'noise', 'paid', 'worse']"
112,"Shure SE215 Sound-Isolating in-Ear Stereo Earphones, Black EATFL1-6 Triple Flange Sleeves, 3 Pair",Shure,104.89,3.5,40.0,"['sound quality', 'highly recommend', 'great by for the price', 'quality is great', 'headphones', 'cable', 'earbuds', 'ears', 'noise', 'earphones', 'foam', 'isolation', 'motorcycle', 'block', 'tips', 'wire', 'earpiece']"
113,"JVC HAFX8B Headphone, Riptidz, In-Ear",JVC,,4.2,706.0,"['sound quality', 'small ears', 'good sound', 'stopped working', 'sound great', 'great sound', 'great price', 'feel like', 'panasonic rphje', 'build quality', 'earbud', 'pretty good', 'different sizes', 'last long', 'second pair']"
114,"Skullcandy Ink'd Bluetooth Wireless Earbuds with Microphone, Noise Isolating Supreme Sound, 8-Hour Rechargeable Battery, Lightweight with Flexible Collar, Royal Blue (Renewed)",Amazon Renewed,16.99,4.1,149.0,['No Review']
115,Jvc Haf10c Earbuds With Hard Carrying Case (black),JVC,12.99,4.0,0.0,['No Review']
116,Sony Bluetooth Noise Canceling Stereo Headphones MDR-NWBT20N Black (Japan Import),Sony,99.98,3.8,215.0,['No Review']
117,"Samsung Galaxy Buds Live, Wireless Earbuds w/Active Noise Cancelling (Mystic Black)",SAMSUNG,169.99,,0.0,['No Review']
118,Sony MDR-NX1 In Style Stereo Dynamic Earphones (White) (Discontinued by Manufacturer),Sony,31.95,4.0,8.0,['No Review']
119,JVC Black and Yellow Wireless Water Resistant Pivot Motion Sport Headphone with Locking Ear Fit HA-ET50BTB,JVC,58.75,3.1,38.0,"['battery life', 'sound quality', 'stay in place', 'pivot motion', 'motion sport', 'wireless headphones', 'wireless pivot', 'quality is great', 'good sound', 'quality is good', 'quality and sound', 'earbuds', 'running', 'ear', 'bass']"
120,"Samsung Muse 4GB MP3 Player Optimized for Samsung Galaxy S2, S3, Note and Note 2 Smartphones (Marble White) (Discontinued by Manufacturer)",SAMSUNG,,3.7,62.0,"['easy to use', 'ear buds', 'headphone jack', 'little guy', 'micro usb', 'great sound', 'hold switch', 'battery life', 'drag and drop', 'transfer music', 'music player', 'muse app', 'works perfectly', 'little player', 'play store']"
121,NCredible N-Ergy in-Ear Noise-Isolating Headphones by Monster with ControlTalk Universal On-Cable Mic (Silver),Monster,19.99,3.0,26.0,['No Review']
122,Powerbeats Pro Totally Wireless Earphones - Apple H1 Chip - Moss with AppleCare+ Bundle,Beats,228.95,4.5,13.0,['No Review']
123,"Skullcandy Jib In-Ear Noise-Isolating Earbuds, Lightweight, Stereo Sound and Enhanced Base, Wired 3.5mm Jack Connectivity, Black",Skullcandy,,4.1,5772.0,"['sound quality', 'skullcandy', 'stopped working', 'great sound', 'waste of money', 'great price', 'good sound', 'earbud', 'sound good', 'another pair', 'new pair', 'noise cancellation', 'noise cancelling']"
124,Jlab Audio Fit Sport 3 Wireless Fitness Gym Earbuds | Bluetooth 4.2 | 6 Hour Battery Life | Flexible Memory Wire |IP55 Dust/Sweat Proof Rating | Noise Isolation | Universal Track Controls | Blue,JLAB,,3.8,31.0,['No Review']
125,Panasonic RP-BTS10-R WINGS Bluetooth Sport Earphones Red,Panasonic,30.0,3.2,100.0,"['sound quality', 'battery life', 'hard plastic', 'ear canal', 'stay in place', 'bluetooth headphones', 'earbuds', 'price point', 'bluetooth earbuds', 'form factor', 'red color', 'sound good', 'stay on my ears', 'easy to use']"
126,Samsung Wired Stereo EHS60 Serious Sound Earbud 3.5mm universal headset with In-Line Multi-Function Answer/Call Button (Black) (Discontinued by Manufacturer),SAMSUNG,9.99,3.8,632.0,"['sound quality', 'listening to music', 'stopped working', 'volume control', 'waste your money', 'cell phone', 'pretty good', 'headphones', 'works well', 'fell apart', 'galaxy note', 'bluetooth', 'hands free', 'save your money']"
127,JVC canal type earphone Black HA-FXH20-B,JVC,80.53,3.7,52.0,['No Review']
128,"SONY h.ear in canal type earphone High-Resolution Audio sound with Remote control,Microphone Lime Yellow MDR-EX750AP / Y",Sony,59.9,4.6,7.0,['No Review']
